Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"pcb","the thing that wires and holds everything together",1,11.53,"","jlcpcb"
"Magnets","to attach sides",1,4.75,"https://www.aliexpress.com/item/1005009535032247.html?spm=a2g0o.productlist.main.4.4dd7NPjkNPjkv3&aem_p4p_detail=202604300427182822598833874820004345827&algo_pvid=41b06e34-94ed-43cb-b84a-c4fe7c5f9e02&algo_exp_id=41b06e34-94ed-43cb-b84a-c4fe7c5f9e02-3&pdp_ext_f=%7B%22order%22%3A%22105%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.34%214.75%21%21%216.34%214.75%21%402103129017775484388655086e60e7%2112000049390216938%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=tErlM9zdaACY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009535032247%7C_p_origin_prod%3A&search_p4p_id=202604300427182822598833874820004345827_1","ali express"
"screws","to screw it together",1,1.19,"https://www.aliexpress.com/item/1005007156753413.html?spm=a2g0o.productlist.main.2.70e1KT6rKT6r4z&algo_pvid=1dca779f-b739-40b3-9bd1-faf88dca4f7c&algo_exp_id=1dca779f-b739-40b3-9bd1-faf88dca4f7c-1&pdp_ext_f=%7B%22order%22%3A%221578%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.08%210.81%21%21%217.33%215.50%21%402101e80317775483140854245e64be%2112000039637096444%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=AvMUevYtYAsq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007156753413%7C_p_origin_prod%3A","ali express"
"brass insert nut","screw connecting",1,1.42,"https://www.aliexpress.com/item/1005008644449489.html?spm=a2g0o.productlist.main.3.78eeZjH4ZjH4OB&algo_pvid=db5c73ed-6ec1-41fe-8986-9bfb1d5b6be5&algo_exp_id=db5c73ed-6ec1-41fe-8986-9bfb1d5b6be5-2&pdp_ext_f=%7B%22order%22%3A%221514%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.34%211.34%21%21%211.34%211.34%21%40210328db17775481559351730e4552%2112000046073221966%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=N0KmBMAkcwau&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008644449489%7C_p_origin_prod%3A","ali express"
"headers","connecting stuff",1,2.20,"https://www.aliexpress.com/item/1005008490007737.html?spm=a2g0o.productlist.main.13.6371zODLzODLx7&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005008490007737%7C_p_origin_prod%3A&algo_pvid=3e176fe8-4a7a-4d31-b79a-1f602f4ac221&algo_exp_id=3e176fe8-4a7a-4d31-b79a-1f602f4ac221&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.41%212.20%21%21%2130.04%2115.02%21%4021032f3717775480916557700ea446%2112000046344834123%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895","ali express"
"rgb led","backlighting",1,3.22,"https://www.aliexpress.com/item/1005005340818659.html?spm=a2g0o.productlist.main.2.27ecZnzNZnzNXq&algo_pvid=2a91e50a-e37a-43a0-962a-80c63ca83067&algo_exp_id=2a91e50a-e37a-43a0-962a-80c63ca83067-1&pdp_ext_f=%7B%22order%22%3A%22156%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.79%213.22%21%21%2125.82%2121.95%21%40210318a717775480091197565e929d%2112000032670306832%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=cKOfwHq0NXxX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005340818659%7C_p_origin_prod%3A","ali express"
"lipo battery","to power the tamagotchi",1,3.87,"https://www.aliexpress.com/item/1005006995943957.html?spm=a2g0o.productlist.main.2.5f5dSSeISSeIAA&algo_pvid=465d721f-19a4-45c9-a5c9-23c479530c8c&algo_exp_id=465d721f-19a4-45c9-a5c9-23c479530c8c-1&pdp_ext_f=%7B%22order%22%3A%2269%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.99%213.87%21%21%213.99%213.87%21%402101dedf17775479461817954ee138%2112000038987399864%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=hirB6cYhLl1Y&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006995943957%7C_p_origin_prod%3A","ali express"
"buzzer","noise creating",1,3.72,"https://www.aliexpress.com/item/1005010498958481.html?spm=a2g0o.productlist.main.1.76bdfcs9fcs9P3&algo_pvid=34f672fb-7ef5-4735-89ca-ae9c4020e3eb&algo_exp_id=34f672fb-7ef5-4735-89ca-ae9c4020e3eb-0&pdp_ext_f=%7B%22order%22%3A%2263%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.08%213.72%21%21%2154.98%2125.29%21%402103212317775478502967329e6f35%2112000052601560955%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=TC8xco9BnyGL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010498958481%7C_p_origin_prod%3A","ali express"
"tactile buttons","the buttons for the tamagotchi",1,2.77,"https://www.aliexpress.com/item/1005006477792707.html?spm=a2g0o.productlist.main.4.1c40fds0fds0x5&algo_pvid=3fbefc71-927e-4d72-a400-6fba258fd7be&aem_p4p_detail=2026043004152918909141188223480004376545&algo_exp_id=3fbefc71-927e-4d72-a400-6fba258fd7be-3&pdp_ext_f=%7B%22order%22%3A%2272%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.77%212.77%21%21%2118.88%2118.88%21%402101e81117775477298928142e09f2%2112000037345527687%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=oOi1vD6X5cbm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006477792707%7C_p_origin_prod%3A&search_p4p_id=2026043004152918909141188223480004376545_1","ali express"
"oled display","the screen for tamagotchi",1,3.63,"https://www.aliexpress.com/item/1005010183965559.html?spm=a2g0o.productlist.main.2.34238INy8INymB&algo_pvid=bec8d602-9698-47c4-a758-c833280b8ff4&algo_exp_id=bec8d602-9698-47c4-a758-c833280b8ff4-1&pdp_ext_f=%7B%22order%22%3A%22122%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.72%213.63%21%21%2152.52%2124.68%21%402101d97817775476210582621e1e3e%2112000051437252682%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=zOt9Pu2duZKz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010183965559%7C_p_origin_prod%3A","ali express"
